"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV715d7f30",NA,NA,NA,NA,NA,NA,NA
"ASV84afb240","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1d288201",NA,NA,NA,NA,NA,NA,NA
"ASV4cf1d9ca","Bacteria",NA,NA,NA,NA,NA,NA
"ASVaf74e978","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Siphonobacter",NA
"ASV8082f7ac","Bacteria",NA,NA,NA,NA,NA,NA
"ASVdafdba1b","Bacteria",NA,NA,NA,NA,NA,NA
"ASV794fea2b","Bacteria",NA,NA,NA,NA,NA,NA
"ASV5d7a85d5","Bacteria",NA,NA,NA,NA,NA,NA
"ASVc06d61f9","Bacteria",NA,NA,NA,NA,NA,NA
"ASVedcdd99e",NA,NA,NA,NA,NA,NA,NA
"ASV52ec176b",NA,NA,NA,NA,NA,NA,NA
"ASV586c782c",NA,NA,NA,NA,NA,NA,NA
"ASVf726e3d3","Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASVef7cf146","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Beijerinckiaceae","Methylobacterium","adhaesivum"
"ASV58ab8213","Bacteria",NA,NA,NA,NA,NA,NA
"ASVb4603984","Bacteria",NA,NA,NA,NA,NA,NA
"ASV055b8aa4",NA,NA,NA,NA,NA,NA,NA
"ASVffbc77f1","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales",NA,NA,NA
"ASV27051d31","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales",NA,NA,NA
"ASVdf47f785","Bacteria",NA,NA,NA,NA,NA,NA
"ASV2ac696ff","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Jeotgalicoccus","psychrophilus"
"ASV6180dd7f","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"ASV7fb2cca5","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae",NA,NA
"ASVd9f7dc01","Bacteria",NA,NA,NA,NA,NA,NA
"ASV69e5349d","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Pseudoxanthomonas","mexicana"
"ASV152125a6","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","aquaticus"
"ASV2e63ffba","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","aeria"
"ASVc92f8246","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter",NA
"ASV08d2fc6b","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria","elongata"
"ASV8c9f7c7d",NA,NA,NA,NA,NA,NA,NA
"ASV7398599c","Bacteria","Methylomirabilota","Methylomirabilia","Rokubacteriales",NA,NA,NA
"ASVa453a60a",NA,NA,NA,NA,NA,NA,NA
